.model,date,points,.mean
ARIMA(points ~ trend() + season()),9/23/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/24/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/25/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/26/2025,N(5.5, 11)
ARIMA(points ~ trend() + season()),9/27/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/28/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/29/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/30/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),10/1/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),10/2/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),10/3/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),10/4/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/5/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/6/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/7/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/8/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/9/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/10/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),10/11/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/12/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/13/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/14/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/15/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/16/2025,N(0.45, 11)
ARIMA(points ~ trend() + season()),10/17/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),10/18/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/19/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/20/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/21/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/22/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/23/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/24/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),10/25/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/26/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/27/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/28/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/29/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/30/2025,N(0.46, 11)
ARIMA(points ~ trend() + season()),10/31/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),11/1/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/2/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/3/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/4/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/5/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/6/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/7/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),11/8/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/9/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/10/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/11/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/12/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/13/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/14/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),11/15/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/16/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/17/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/18/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/19/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/20/2025,N(0.47, 11)
ARIMA(points ~ trend() + season()),11/21/2025,N(5.6, 11)
ARIMA(points ~ trend() + season()),11/22/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/23/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/24/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/25/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/26/2025,N(0.48, 11)
